kbobID,playerID,yearID,stint,lgID,teamID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GIDP,AVG,SLG,OBP,PA,TB
1,50007,2022,1,KBO,KT,2,3,0,1,1,0,0,0,0,0,0,2,0,0.333,0.667,0.333,3,2
2,50007,2023,1,KBO,KT,2,5,1,1,0,0,0,0,0,0,0,4,0,0.2,0.2,0.2,5,1
3,50054,2020,1,KBO,KT,66,69,9,14,3,0,0,1,1,1,7,15,0,0.203,0.246,0.286,77,17
4,50054,2021,1,KBO,KT,41,42,13,12,1,0,0,4,1,0,3,9,0,0.286,0.31,0.362,47,13
5,50054,2024,1,KBO,KT,75,234,41,69,8,3,1,17,7,0,18,43,5,0.295,0.368,0.346,255,86
6,50054,2025,1,KBO,KT,23,52,7,11,5,1,0,7,0,1,8,9,1,0.212,0.346,0.339,62,18
7,50066,2020,1,KBO,KT,26,30,2,6,2,0,1,3,0,0,2,11,1,0.2,0.367,0.25,32,11
8,50066,2023,1,KBO,KT,53,103,11,20,6,0,1,11,0,1,6,17,3,0.194,0.282,0.245,111,29
9,50066,2024,1,KBO,KT,18,26,4,8,1,0,1,8,0,0,8,10,0,0.308,0.462,0.471,36,12
10,50066,2025,1,KBO,KT,10,12,0,2,0,0,0,1,0,0,3,4,0,0.167,0.167,0.333,15,2
11,50092,2024,1,KBO,KT,13,17,3,3,2,0,0,0,0,0,1,6,0,0.176,0.294,0.222,18,5
12,50092,2025,1,KBO,KT,15,14,1,1,1,0,0,0,1,0,0,4,0,0.071,0.143,0.071,15,2
13,50106,2024,1,KBO,LG,8,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0
14,50108,2024,1,KBO,LG,15,14,3,2,0,0,0,0,0,0,2,3,1,0.143,0.143,0.25,17,2
15,50108,2025,1,KBO,LG,4,11,0,2,1,0,0,1,0,0,0,2,0,0.182,0.273,0.182,11,3
16,50109,2024,1,KBO,KT,2,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0
17,50115,2024,1,KBO,LG,4,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0
18,50150,2020,1,KBO,LG,23,30,9,11,2,0,0,3,5,0,1,6,2,0.367,0.433,0.387,31,13
