debutID,playerID,debutYear,debutTeam,krName,position,signingBonus,salary,draftOrder,debutYearTeam
1,50007,2022,KT,문상준,Infielder,4000만원,3100만원,20 KT 2차 8라운드 72순위,22KT
2,50030,2020,KT,소형준,Pitcher,36000만원,22000만원,20 KT 1차,20KT
3,50036,2020,KT,이강준,Pitcher,9000만원,3200만원,20 KT 2차 3라운드 22순위,20KT
4,50040,2020,KT,데스파이네,Pitcher,300000달러,700000달러,20 KT 자유선발,20KT
5,50054,2020,KT,천성호,Infielder,10000만원,7100만원,20 KT 2차 2라운드 12순위,20KT
6,50066,2020,KT,강현우,Catcher,15000만원,5000만원,20 KT 2차 1라운드 2순위,20KT
7,50092,2020,KT,윤준혁,Infielder,8000만원,3500만원,20 KT 2차 4라운드 32순위,20KT
8,50106,2023,LG,유영찬,Pitcher,,21000만원,20 LG 2차 5라운드 43순위,23LG
9,50108,2024,LG,함창건,Outfielder,5000만원,3200만원,20 LG 2차 7라운드 63순위,24LG
10,50109,2020,LG,성재헌,Pitcher,4000만원,3600만원,20 LG 2차 8라운드 73순위,20LG
11,50115,2024,LG,김수인,Infielder,,3100만원,20 LG 육성선수,24LG
12,50126,2020,LG,이민호,Pitcher,30000만원,14000만원,20 LG 1차,20LG
13,50150,2014,Chicago Cubs,손호영,Infielder,,12500만원,20 LG 2차 3라운드 23순위,14시카고컵스
14,50157,2020,LG,김윤식,Pitcher,20000만원,12000만원,20 LG 2차 1라운드 3순위,20LG
15,50165,2020,LG,라모스,Infielder,200000달러,600000달러,20 LG 자유선발,20LG
16,50167,2020,LG,이주형,Outfielder,15000만원,11000만원,20 LG 2차 2라운드 13순위,20LG
17,50202,2020,Doosan,안권수,Outfielder,3000만원,8000만원,20 두산 2차 10라운드 99순위,20두산
18,50203,2020,Doosan,권휘,Pitcher,,3700만원,20 두산 육성선수,20두산
19,50204,2020,Doosan,박지훈,Infielder,6000만원,3240만원,20 두산 2차 5라운드 49순위,20두산
20,50205,2021,Doosan,박웅,Pitcher,,3300만원,20 두산 육성선수,21두산
21,50206,2024,Doosan,최종인,Pitcher,3000만원,3500만원,20 두산 2차 9라운드 89순위,24두산
22,50208,2020,Doosan,오명진,Infielder,5000만원,3100만원,20 두산 2차 6라운드 59순위,20두산
23,50211,2020,Doosan,제환유,Pitcher,10000만원,3000만원,20 두산 2차 2라운드 19순위,20두산
24,50234,2020,Doosan,플렉센,Pitcher,143000달러,600000달러,20 두산 자유선발,20두산
25,50244,2020,Doosan,장규빈,Catcher,14000만원,3100만원,20 두산 2차 1라운드 9순위,20두산
26,50262,2020,Doosan,이주엽,Pitcher,20000만원,3000만원,20 두산 1차,20두산
27,50293,2020,Doosan,양찬열,Outfielder,4000만원,4000만원,20 두산 2차 8라운드 79순위,20두산
28,50296,2020,Doosan,조제영,Pitcher,7000만원,3000만원,20 두산 2차 4라운드 39순위,20두산
29,50298,2020,Doosan,최세창,Pitcher,8000만원,3000만원,20 두산 2차 3라운드 29순위,20두산
30,50300,2020,Kiwoom,모터,Infielder,,200000달러,20 키움 자유선발,20키움
31,50304,2020,Kiwoom,김병휘,Infielder,7000만원,3500만원,20 키움 2차 4라운드 37순위,20키움
32,50312,2021,Kiwoom,신준우,Infielder,9000만원,4200만원,20 키움 2차 2라운드 17순위,21키움
33,50350,2020,Kiwoom,러셀,Infielder,,550000달러,20 키움 자유선발,20키움
34,50354,2020,Kiwoom,이종민,Pitcher,11000만원,3600만원,20 키움 2차 1라운드 7순위,20키움
35,50357,2020,Kiwoom,박주홍,Outfielder,20000만원,3700만원,20 키움 1차,20키움
36,50360,2020,Kiwoom,김동혁,Pitcher,8000만원,4800만원,20 키움 2차 3라운드 27순위,20키움
37,50365,2010,Houston Astros,문찬종,,,,20 키움 2차 6라운드 57순위,10휴스턴
38,50393,2021,Kiwoom,김동욱,Pitcher,2000만원,3000만원,20 키움 2차 10라운드 97순위,21키움
39,50397,2020,Kiwoom,박관진,Pitcher,6000만원,3000만원,20 키움 2차 5라운드 47순위,20키움
40,50404,2020,Samsung,뷰캐넌,Pitcher,100000달러,1100000달러,20 삼성 자유선발,20삼성
41,50411,2022,Samsung,박주혁,Pitcher,6000만원,3800만원,20 삼성 2차 5라운드 45순위,22삼성
42,50430,2020,Samsung,홍원표,Pitcher,8000만원,3550만원,20 삼성 2차 3라운드 25순위,20삼성
43,50441,2020,Samsung,황동재,Pitcher,23000만원,6200만원,20 삼성 1차,20삼성
44,50449,2020,Samsung,허윤동,Pitcher,15000만원,5000만원,20 삼성 2차 1라운드 5순위,20삼성
45,50458,2020,Samsung,김지찬,Outfielder,11000만원,28000만원,20 삼성 2차 2라운드 15순위,20삼성
46,50464,2020,Samsung,이승민,Pitcher,7000만원,5000만원,20 삼성 2차 4라운드 35순위,20삼성
47,50468,2020,Samsung,살라디노,Infielder,100000달러,700000달러,20 삼성 자유선발,20삼성
48,50469,2020,Samsung,팔카,Outfielder,20000달러,100000달러,20 삼성 자유선발,20삼성
49,50500,2022,Lotte,황성빈,Outfielder,7000만원,15500만원,20 롯데 2차 5라운드 44순위,22롯데
50,50506,2020,Lotte,마차도,Infielder,150000달러,500000달러,20 롯데 자유선발,20롯데
51,50524,2020,Lotte,샘슨,Pitcher,339700달러,500000달러,20 롯데 자유선발,20롯데
52,50556,2020,Lotte,최준용,Pitcher,25000만원,11000만원,20 롯데 1차,20롯데
53,50558,2020,Lotte,스트레일리,Pitcher,300000달러,1000000달러,20 롯데 자유선발,20롯데
54,50563,2020,Lotte,박로건,Pitcher,11000만원,3100만원,20 롯데 2차 2라운드 14순위,20롯데
55,50573,2022,Lotte,김민기,Pitcher,,3000만원,20 롯데 육성선수,22롯데
56,50592,2020,Lotte,박명현,Pitcher,9000만원,3200만원,20 롯데 2차 3라운드 24순위,20롯데
57,50596,2020,Lotte,홍민기,Pitcher,16000만원,3100만원,20 롯데 2차 1라운드 4순위,20롯데
58,50600,2020,KIA,홍종표,Infielder,11000만원,6500만원,20 KIA 2차 2라운드 16순위,20KIA
59,50604,2020,KIA,유지성,Pitcher,7000만원,3200만원,20 KIA 2차 4라운드 36순위,20KIA
60,50608,2024,Lotte,이인한,Outfielder,3000만원,3100만원,20 KIA 2차 9라운드 86순위,24롯데
61,50636,2020,KIA,브룩스,Pitcher,200000달러,1000000달러,20 KIA 자유선발,20KIA
62,50640,2020,KIA,가뇽,Pitcher,200000달러,650000달러,20 KIA 자유선발,20KIA
63,50641,2022,KIA,장재혁,Pitcher,5000만원,3100만원,20 KIA 2차 6라운드 56순위,22KIA
64,50650,2021,KIA,최용준,Pitcher,3000만원,3000만원,20 KIA 2차 10라운드 96순위,21KIA
65,50657,2020,KIA,박민,Infielder,15000만원,3800만원,20 KIA 2차 1라운드 6순위,20KIA
66,50662,2020,KIA,정해영,Pitcher,20000만원,36000만원,20 KIA 1차,20KIA
67,50704,2020,Hanwha,임종찬,Outfielder,9000만원,3700만원,20 한화 2차 3라운드 28순위,20한화
68,50705,2020,Hanwha,강재민,Pitcher,8000만원,14500만원,20 한화 2차 4라운드 38순위,20한화
69,50706,2020,Hanwha,장웅정,Pitcher,7000만원,3200만원,20 한화 2차 5라운드 48순위,20한화
70,50707,2020,Hanwha,최인호,Outfielder,6000만원,6800만원,20 한화 2차 6라운드 58순위,20한화
71,50709,2020,Hanwha,박정현,Infielder,4000만원,3700만원,20 한화 2차 8라운드 78순위,20한화
