playerID,birthYear,birthMonth,birthDay,nationality,nameLast,nameFirst,nameGiven,weight,height,bats,throws,position
50007,2001,3,14,Korea,Moon,Sang-Jun,Moon Sang-Jun,176,72,R,R,Infielder
50030,2001,9,16,Korea,So,Hyeong-Jun,So Hyeong-Jun,203,74,R,R,Pitcher
50036,2001,12,14,Korea,Lee,Gang-Jun,Lee Gang-Jun,176,71,R,R,Pitcher
50040,1987,4,4,Cuba,Despaigne,Odrisamer,Despaigne Odrisamer,203,72,R,R,Pitcher
50054,1997,10,30,Korea,Cheon,Seong-Ho,Cheon Seong-Ho,187,72,L,R,Infielder
50066,2001,4,13,Korea,Kang,Hyeon-U,Kang Hyeon-U,198,71,R,R,Catcher
50092,2001,7,26,Korea,Yoon,Jun-Hyeok,Yoon Jun-Hyeok,190,73,R,R,Infielder
50106,1997,3,7,Korea,Yoo,Yeong-Chan,Yoo Yeong-Chan,198,73,R,R,Pitcher
50108,2001,8,18,Korea,Ham,Chang-Geon,Ham Chang-Geon,183,69,L,L,Outfielder
50109,1997,12,22,Korea,Seong,Jae-Heon,Seong Jae-Heon,181,69,L,L,Pitcher
50115,1997,10,19,Korea,Kim,Su-In,Kim Su-In,179,70,R,R,Infielder
50126,2001,8,30,Korea,Lee,Min-Ho,Lee Min-Ho,205,74,R,R,Pitcher
50150,1994,8,23,Korea,Son,Ho-Yeong,Son Ho-Yeong,194,72,R,R,Infielder
50157,2000,4,3,Korea,Kim,Yun-Sik,Kim Yun-Sik,183,71,L,L,Pitcher
50165,1994,12,28,Mexico,Ramos,Henry,Ramos Henry,254,76,L,R,Infielder
50167,2001,4,2,Korea,Lee,Ju-Hyeong,Lee Ju-Hyeong,176,71,L,R,Outfielder
50202,1993,4,19,Japan,An,Kwon-Soo,An Kwon-Soo,176,69,L,R,Outfielder
50203,2000,12,7,Korea,Kwon,Hwi,Kwon Hwi,192,71,R,R,Pitcher
50204,2000,9,7,Korea,Park,Ji-Hun,Park Ji-Hun,176,72,R,R,Infielder
50205,1997,11,12,Korea,Park,Ung,Park Ung,227,76,R,R,Pitcher
50206,2001,5,1,Korea,Choi,Jong-In,Choi Jong-In,185,73,R,R,Pitcher
50208,2001,9,4,Korea,Oh,Myeong-Jin,Oh Myeong-Jin,174,70,L,R,Infielder
50211,2000,9,30,Korea,Je,Hwan-Yu,Je Hwan-Yu,168,72,L,R,Pitcher
50234,1994,7,1,USA,Flexen,Chris,Flexen Chris,249,75,R,R,Pitcher
50244,2001,4,21,Korea,Jang,Gyu-Bin,Jang Gyu-Bin,216,73,R,R,Catcher
50262,2001,3,26,Korea,Lee,Ju-Yeop,Lee Ju-Yeop,198,74,R,R,Pitcher
50293,1997,5,25,Korea,Yang,Chan-Yeol,Yang Chan-Yeol,185,70,L,R,Outfielder
50296,2001,2,12,Korea,Cho,Je-Yeong,Cho Je-Yeong,196,72,R,R,Pitcher
50298,2001,6,1,Korea,Choi,Se-Chang,Choi Se-Chang,209,74,R,R,Pitcher
50300,1989,9,18,USA,Motter,Taylor,Motter Taylor,194,73,R,R,Infielder
50304,2001,2,16,Korea,Kim,Byeong-Hwi,Kim Byeong-Hwi,174,70,R,R,Infielder
50312,2001,6,21,Korea,Shin,Jun-U,Shin Jun-U,176,70,R,R,Infielder
50350,1994,1,23,USA,Russell,Addison,Russell Addison,198,72,R,R,Infielder
50354,2001,6,4,Korea,Lee,Jong-Min,Lee Jong-Min,212,73,L,L,Pitcher
50357,2001,4,16,Korea,Park,Ju-Hong,Park Ju-Hong,192,74,L,L,Outfielder
50360,2001,12,27,Korea,Kim,Dong-Hyeok,Kim Dong-Hyeok,176,72,R,R,Pitcher
50365,1991,3,23,Korea,Moon,Chan-Jong,Moon Chan-Jong,181,72,R,R,
50393,1997,5,16,Korea,Kim,Dong-Uk,Kim Dong-Uk,183,70,R,R,Pitcher
50397,1997,3,26,Korea,Park,Gwan-Jin,Park Gwan-Jin,176,73,R,R,Pitcher
50404,1989,5,11,USA,Buchanan,David,Buchanan David,198,75,R,R,Pitcher
50411,2001,5,18,Korea,Park,Ju-Hyeok,Park Ju-Hyeok,181,72,R,R,Pitcher
50430,2001,3,27,Korea,Hong,Won-Pyo,Hong Won-Pyo,190,72,R,R,Pitcher
50441,2001,11,3,Korea,Hwang,Dong-Jae,Hwang Dong-Jae,214,75,R,R,Pitcher
50449,2001,6,19,Korea,Heo,Yun-Dong,Heo Yun-Dong,198,71,L,L,Pitcher
50458,2001,3,8,Korea,Kim,Ji-Chan,Kim Ji-Chan,141,64,L,R,Outfielder
50464,2000,8,26,Korea,Lee,Seung-Min,Lee Seung-Min,174,69,L,L,Pitcher
50468,1989,7,20,USA,Saladino,Tyler,Saladino Tyler,198,72,R,R,Infielder
50469,1991,10,28,USA,Palka,Daniel,Palka Daniel,229,74,L,L,Outfielder
50500,1997,12,19,Korea,Hwang,Seong-Bin,Hwang Seong-Bin,168,68,L,R,Outfielder
50506,1992,2,22,Venezuela,Machado,Dixon,Machado Dixon,201,73,R,R,Infielder
50524,1991,10,7,USA,Sampson,Adrian,Sampson Adrian,209,74,R,R,Pitcher
50556,2001,10,10,Korea,Choi,Jun-Yong,Choi Jun-Yong,187,73,R,R,Pitcher
50558,1988,12,1,USA,Straily,Dan,Straily Dan,220,74,R,R,Pitcher
50563,2001,8,27,Korea,Park,Ro-Geon,Park Ro-Geon,194,73,L,L,Pitcher
50573,1996,2,14,Korea,Kim,Min-Gi,Kim Min-Gi,183,70,R,R,Pitcher
50592,2001,6,16,Korea,Park,Myeong-Hyeon,Park Myeong-Hyeon,176,73,R,R,Pitcher
50596,2001,7,20,Korea,Hong,Min-Gi,Hong Min-Gi,187,73,L,L,Pitcher
50600,2000,5,2,Korea,Hong,Jong-Pyo,Hong Jong-Pyo,159,70,L,R,Infielder
50604,2000,11,15,Korea,Yoo,Ji-Seong,Yoo Ji-Seong,207,74,L,L,Pitcher
50608,1998,12,24,Korea,Lee,In-Han,Lee In-Han,209,72,R,R,Outfielder
50636,1990,4,27,USA,Brooks,Aaron,Brooks Aaron,229,76,R,R,Pitcher
50640,1990,6,26,USA,Gagnon,Drew,Gagnon Drew,214,76,R,R,Pitcher
50641,2001,8,2,Korea,Jang,Jae-Hyeok,Jang Jae-Hyeok,190,71,R,R,Pitcher
50650,2001,12,19,Korea,Choi,Yong-Jun,Choi Yong-Jun,231,76,R,R,Pitcher
50657,2001,6,5,Korea,Park,Min,Park Min,185,72,R,R,Infielder
50662,2001,8,23,Korea,Jung,Hae-Yeong,Jung Hae-Yeong,216,74,R,R,Pitcher
50704,2001,9,28,Korea,Lim,Jong-Chan,Lim Jong-Chan,187,72,L,R,Outfielder
50705,1997,4,3,Korea,Kang,Jae-Min,Kang Jae-Min,196,71,R,R,Pitcher
50706,1997,4,11,Korea,Jang,Ung-Jeong,Jang Ung-Jeong,168,71,R,R,Pitcher
50707,2000,1,30,Korea,Choi,In-Ho,Choi In-Ho,181,70,L,R,Outfielder
50709,2001,7,27,Korea,Park,Jeong-Hyeon,Park Jeong-Hyeon,183,72,R,R,Infielder
50711,2001,7,7,Korea,Kim,Seung-Il,Kim Seung-Il,187,72,R,R,Pitcher
50720,2001,2,12,Korea,Nam,Ji-Min,Nam Ji-Min,220,71,R,R,Pitcher
50726,2001,3,17,Korea,Han,Seung-Ju,Han Seung-Ju,187,72,R,R,Pitcher
50730,1986,5,15,USA,Barnes,Brandon,Barnes Brandon,209,74,R,R,Outfielder
50758,2001,6,12,Korea,Shin,Ji-Hu,Shin Ji-Hu,247,78,R,R,Pitcher
50802,1990,10,29,USA,White,Tyler,White Tyler,0,0,R,R,Infielder
50812,2001,5,10,Korea,Park,Si-Hu,Park Si-Hu,194,72,L,L,Pitcher
50813,1997,4,15,Korea,Yang,Seon-Ryul,Yang Seon-Ryul,201,73,R,R,Pitcher
50815,1991,11,8,USA,Kingham,Nick,Kingham Nick,234,77,R,R,Pitcher
50819,1997,6,15,Korea,Lee,Geo-Yeon,Lee Geo-Yeon,203,73,R,R,Infielder
50820,2000,11,25,Korea,Jeon,Ui-San,Jeon Ui-San,231,74,L,R,Infielder
50835,1994,1,20,Venezuela,Pinto,Ricardo,Pinto Ricardo,194,72,R,R,Pitcher
50840,2001,7,8,Korea,Hyeon,Won-Hoe,Hyeon Won-Hoe,209,71,R,R,Infielder
50848,2001,4,30,Korea,Kim,Seong-Min,Kim Seong-Min,194,72,R,R,Infielder
50854,1997,7,23,Korea,Choi,Ji-Hun,Choi Ji-Hun,181,70,L,R,Outfielder
50859,2001,4,23,Korea,Oh,Won-Seok,Oh Won-Seok,176,72,L,L,Pitcher
50868,1996,7,16,Korea,Ryu,Hyo-Seung,Ryu Hyo-Seung,220,75,R,R,Outfielder
50900,2001,9,15,Korea,Lim,Hyeong-Won,Lim Hyeong-Won,161,72,R,R,Pitcher
50901,2001,2,27,Korea,An,In-San,An In-San,209,71,R,R,Infielder
50902,2001,1,18,Korea,Kim,Han-Byeol,Kim Han-Byeol,187,70,R,R,Infielder
50903,2001,10,19,Korea,Han,Jae-Hwan,Han Jae-Hwan,196,70,R,R,Infielder
50904,2001,3,9,Korea,Lee,Jong-Jun,Lee Jong-Jun,205,75,R,R,Pitcher
50905,2001,7,26,Korea,Kang,Tae-Gyeong,Kang Tae-Gyeong,209,74,L,R,Pitcher
50906,1997,7,16,Korea,Park,Yeong-Bin,Park Yeong-Bin,194,72,L,R,Outfielder
50912,1990,1,3,USA,Wright,Mike,Wright Mike,214,78,R,R,Pitcher
50923,1991,1,14,USA,Altherr,Aaron,Altherr Aaron,214,77,R,R,Outfielder
50992,2001,4,7,Korea,Kim,Tae-Gyeong,Kim Tae-Gyeong,209,74,R,R,Pitcher
50995,2000,6,16,Korea,Jung,Gu-Beom,Jung Gu-Beom,157,72,L,L,Pitcher
50996,2001,5,30,Korea,Park,Si-Won,Park Si-Won,187,73,L,R,Outfielder
51003,1998,9,12,Korea,Kwon,Dong-Jin,Kwon Dong-Jin,183,70,L,R,Infielder
51004,1989,6,10,Dominica Republic,Almonte,Zoilo,Almonte Zoilo,203,72,R,R,Outfielder
51005,1996,7,12,Korea,Kim,Geon-Hyeong,Kim Geon-Hyeong,183,72,L,R,Outfielder
51007,2002,7,5,Korea,Choi,Seong-Min,Choi Seong-Min,185,70,L,L,Outfielder
51009,1998,4,30,Korea,Jeon,Jin-Yeong,Jeon Jin-Yeong,170,70,L,R,Outfielder
51013,2002,8,16,Korea,Yoo,Jun-Gyu,Yoo Jun-Gyu,152,69,L,R,Outfielder
51058,1998,11,30,Korea,Han,Cha-Hyeon,Han Cha-Hyeon,176,71,R,R,Pitcher
51060,2002,2,15,Korea,Ji,Myeong-Seong,Ji Myeong-Seong,143,68,R,R,Pitcher
51097,2002,8,18,Korea,Kim,Yeong-Hyeon,Kim Yeong-Hyeon,183,70,R,R,Pitcher
51100,2002,6,17,Korea,Lee,Yeong-Bin,Lee Yeong-Bin,181,72,L,R,Infielder
51110,2000,7,18,Korea,Lee,Mit-Eum,Lee Mit-Eum,176,74,R,R,Pitcher
51111,2002,4,10,Korea,Song,Seung-Gi,Song Seung-Gi,198,71,L,L,Pitcher
51136,1992,9,11,USA,Suarez,Andrew,Suarez Andrew,194,73,L,L,Pitcher
51143,2002,10,14,Korea,Kang,Hyo-Jong,Kang Hyo-Jong,185,72,R,R,Pitcher
51144,1988,5,28,USA,Bour,Justin,Bour Justin,0,0,L,R,Infielder
51154,1998,8,31,Korea,Kim,Jin-Su,Kim Jin-Su,181,70,R,R,Pitcher
51203,2002,2,15,Korea,An,Jae-Seok,An Jae-Seok,165,73,L,R,Infielder
51230,2002,2,14,Korea,Kim,Dong-Ju,Kim Dong-Ju,203,75,R,R,Pitcher
51234,1994,5,3,USA,Lockett,Walker,Lockett Walker,225,77,R,R,Pitcher
51257,1989,1,10,Cuba,Miranda,Ariel,Miranda Ariel,190,74,L,L,Pitcher
51264,2001,5,11,Korea,Choi,Seung-Yong,Choi Seung-Yong,192,75,L,L,Pitcher
51269,2002,6,16,Korea,Kang,Hyeon-Gu,Kang Hyeon-Gu,216,73,R,R,Outfielder
51294,2002,6,28,Korea,Kim,Do-Yun,Kim Do-Yun,183,71,L,R,Pitcher
51298,2002,11,18,Korea,Park,Seong-Jae,Park Seong-Jae,216,73,R,R,Catcher
