kbopID,playerID,yearID,stint,lgID,teamID,G,CG,SHO,W,L,SV,HLD,WPCT,BFP,IPouts,H,HR,BB,HBP,SO,R,ER,ERA
1,50030,2020,1,KBO,KT,26,0,0,13,6,0,0,0.684,572,399,141,6,45,6,92,63,57,3.86
2,50030,2021,1,KBO,KT,24,0,0,7,7,0,0,0.5,521,357,123,6,51,4,85,67,55,4.16
3,50030,2022,1,KBO,KT,27,0,0,13,6,0,0,0.684,703,516,158,8,39,5,117,68,58,3.05
4,50030,2023,1,KBO,KT,3,0,0,0,0,0,0,-,59,33,22,1,3,3,4,14,14,11.45
5,50030,2024,1,KBO,KT,6,0,0,2,0,0,0,1,30,27,7,1,1,1,3,3,3,3.24
6,50030,2025,1,KBO,KT,8,0,0,3,2,0,0,0.6,193,148,40,2,14,1,52,16,15,2.83
7,50036,2020,1,KBO,KT,4,0,0,0,0,0,0,-,33,22,9,1,5,3,3,4,4,6.35
8,50036,2021,1,KBO,Lotte,15,0,0,1,0,0,0,1,48,27,11,1,13,2,4,11,10,10.8
9,50036,2022,1,KBO,Lotte,13,0,0,0,0,0,1,-,57,34,9,1,20,0,6,11,11,10.24
10,50036,2025,1,KBO,Kiwoom,16,0,0,0,0,0,1,-,69,45,19,2,8,2,13,13,9,5.65
11,50040,2020,1,KBO,KT,35,0,0,15,8,0,0,0.652,906,628,233,18,68,8,152,105,100,4.33
12,50040,2021,1,KBO,KT,33,0,0,13,10,0,0,0.565,819,571,175,10,78,7,165,81,71,3.39
13,50040,2022,1,KBO,KT,30,0,0,8,12,0,0,0.4,725,489,198,14,48,9,123,94,82,4.53
14,50106,2023,1,KBO,LG,67,0,0,6,3,1,12,0.667,305,204,55,4,40,7,55,27,26,3.44
15,50106,2024,1,KBO,LG,62,0,0,7,5,26,1,0.583,286,196,61,2,30,3,77,24,21,2.97
16,50109,2020,1,KBO,LG,4,0,0,0,0,0,0,-,20,15,6,0,1,1,1,2,2,4.15
17,50109,2024,1,KBO,KT,30,0,0,0,0,0,1,-,159,96,46,1,16,5,20,29,26,7.31
18,50126,2020,1,KBO,LG,20,0,0,4,4,0,0,0.5,434,298,94,5,44,10,67,46,40,3.69
19,50126,2021,1,KBO,LG,25,0,0,8,9,0,0,0.471,477,345,89,13,45,14,100,58,55,4.3
20,50126,2022,1,KBO,LG,26,0,0,12,8,0,0,0.6,540,360,146,14,43,7,73,77,73,5.51
21,50126,2023,1,KBO,LG,5,0,0,0,2,0,0,0,91,64,22,1,10,0,7,13,11,5.03
22,50157,2020,1,KBO,LG,23,0,0,2,4,0,2,0.333,308,208,87,7,24,6,38,50,47,6.25
23,50157,2021,1,KBO,LG,35,0,0,7,4,0,1,0.636,301,205,65,3,36,6,56,37,33,4.46
24,50157,2022,1,KBO,LG,23,0,0,8,5,0,0,0.615,483,345,125,5,27,1,81,46,42,3.31
25,50157,2023,1,KBO,LG,17,0,0,6,4,0,0,0.6,320,229,86,4,25,3,42,35,35,4.22
26,50157,2024,1,KBO,LG,1,0,0,0,0,0,0,-,17,9,7,0,1,0,1,4,4,12
27,50203,2020,1,KBO,Doosan,14,0,0,0,1,0,1,0,63,46,16,1,6,2,10,8,8,5.27
28,50203,2021,1,KBO,Doosan,24,0,0,0,0,0,1,-,92,63,16,0,14,2,15,6,6,2.66
29,50203,2022,1,KBO,Doosan,10,0,0,0,0,0,1,-,40,30,8,1,5,1,5,6,6,5.79
30,50203,2024,1,KBO,Doosan,8,0,0,0,0,0,0,-,49,27,15,0,7,0,11,11,11,11
31,50205,2021,1,KBO,Doosan,10,0,0,0,0,0,0,-,49,40,12,0,4,3,7,7,7,5.4
32,50205,2022,1,KBO,Doosan,8,0,0,0,0,0,0,-,33,18,7,0,7,0,3,3,2,3
33,50206,2024,1,KBO,Doosan,11,0,0,1,0,1,2,1,42,34,8,2,5,0,8,4,4,3.72
34,50206,2025,1,KBO,Doosan,3,0,0,0,0,0,0,-,9,10,1,0,3,0,5,1,1,5.4
35,50211,2023,1,KBO,Doosan,1,0,0,0,0,0,0,-,14,6,3,0,4,0,2,4,3,13.5
36,50234,2020,1,KBO,Doosan,21,0,0,8,4,0,0,0.667,472,355,97,6,30,2,132,43,39,3.01
37,50262,2020,1,KBO,Doosan,4,0,0,0,0,0,0,-,19,12,3,0,7,0,2,3,3,8.1
38,50296,2020,1,KBO,Doosan,4,0,0,0,1,0,0,0,31,18,6,1,7,1,6,7,7,10.5
39,50296,2021,1,KBO,Doosan,6,0,0,0,1,0,0,0,60,37,18,1,10,1,5,13,13,10.97
40,50298,2020,1,KBO,Doosan,3,0,0,0,0,0,0,-,15,9,5,1,0,0,1,2,1,3
41,50298,2021,1,KBO,Doosan,1,0,0,0,0,0,0,-,5,6,1,0,1,0,0,0,0,0
42,50354,2021,1,KBO,Kiwoom,2,0,0,0,0,0,0,-,17,9,4,1,7,0,3,6,6,23.14
43,50354,2023,1,KBO,Kiwoom,11,0,0,0,1,0,0,0,72,46,22,0,6,1,10,13,11,7.24
44,50354,2024,1,KBO,Kiwoom,12,0,0,1,8,0,0,0.111,212,136,56,9,22,5,21,39,37,7.63
45,50360,2020,1,KBO,Kiwoom,8,0,0,0,1,0,0,0,36,31,8,1,1,1,6,5,5,5.19
46,50360,2021,1,KBO,Kiwoom,40,0,0,0,5,1,0,0,367,246,89,5,34,14,30,51,46,5.05
47,50360,2022,1,KBO,Kiwoom,24,0,0,2,1,0,3,0.667,115,85,28,0,11,1,18,14,14,4.73
48,50360,2023,1,KBO,Kiwoom,35,0,0,1,7,0,6,0.125,192,120,51,1,18,6,24,34,32,7.32
49,50360,2024,1,KBO,Kiwoom,17,0,0,0,2,0,0,0,102,69,27,7,10,2,9,21,17,6.85
50,50393,2021,1,KBO,Kiwoom,3,0,0,0,0,0,0,-,16,9,7,2,1,0,2,3,3,9
51,50393,2024,1,KBO,Kiwoom,37,0,0,2,1,0,3,0.667,146,108,33,4,6,2,18,20,20,5
52,50397,2020,1,KBO,Kiwoom,1,0,0,0,1,0,0,0,3,1,1,0,1,0,1,1,1,27
53,50397,2021,1,KBO,Kiwoom,2,0,0,0,0,0,0,-,12,2,5,0,3,1,0,9,6,81
54,50404,2020,1,KBO,Samsung,27,1,0,15,7,0,0,0.682,728,529,172,16,50,7,121,71,67,3.45
55,50404,2021,1,KBO,Samsung,30,1,1,16,5,0,0,0.762,758,531,173,13,59,2,162,71,61,3.1
56,50404,2022,1,KBO,Samsung,26,1,1,11,8,0,0,0.579,691,480,176,10,39,8,117,61,54,3.04
57,50404,2023,1,KBO,Samsung,30,1,0,12,8,0,0,0.6,784,564,174,4,43,6,139,71,53,2.54
58,50411,2022,1,KBO,Samsung,8,0,0,0,0,0,0,-,29,25,5,1,4,0,3,3,1,1.35
59,50430,2020,1,KBO,Samsung,1,0,0,0,0,0,0,-,6,3,1,0,1,1,0,0,0,0
60,50430,2023,1,KBO,Samsung,3,0,0,0,0,0,0,-,15,16,2,0,2,0,1,1,1,2.45
61,50430,2024,1,KBO,Samsung,4,0,0,0,0,0,0,-,28,21,4,1,6,0,5,3,3,4.26
62,50441,2020,1,KBO,Samsung,1,0,0,0,0,0,0,-,16,6,8,1,4,0,3,8,8,54
63,50441,2022,1,KBO,Samsung,16,0,0,1,3,0,0,0.25,312,201,91,9,31,0,53,58,52,7.06
64,50441,2023,1,KBO,Samsung,7,0,0,0,5,0,0,0,155,100,40,6,21,2,27,27,25,7.11
65,50441,2024,1,KBO,Samsung,15,0,0,1,2,0,0,0.333,180,126,38,2,18,4,30,20,19,4.07
66,50441,2025,1,KBO,Samsung,2,0,0,0,0,0,0,-,12,9,2,0,1,0,3,0,0,0
67,50449,2020,1,KBO,Samsung,11,0,0,2,1,0,0,0.667,204,135,43,4,31,2,18,26,24,4.8
68,50449,2021,1,KBO,Samsung,1,0,0,0,1,0,0,0,22,16,8,1,1,1,3,6,5,12.27
69,50449,2022,1,KBO,Samsung,12,0,0,4,3,0,0,0.571,264,165,64,8,34,6,36,43,40,6.55
70,50449,2023,1,KBO,Samsung,7,0,0,0,1,0,0,0,60,37,16,0,12,0,8,12,12,10.13
71,50464,2020,1,KBO,Samsung,7,0,0,1,3,0,0,0.25,128,81,34,5,19,0,16,21,20,6.84
72,50464,2021,1,KBO,Samsung,11,0,0,1,4,0,0,0.2,173,112,50,6,18,3,22,34,34,8.58
73,50464,2022,1,KBO,Samsung,2,0,0,0,0,0,0,-,23,18,2,0,5,0,2,1,1,1.69
74,50464,2024,1,KBO,Samsung,25,0,0,1,4,0,0,0.2,237,144,71,14,26,3,23,48,45,8.56
75,50464,2025,1,KBO,Samsung,11,0,0,1,0,0,0,1,69,48,17,2,3,1,15,7,6,3.38
76,50524,2020,1,KBO,Lotte,25,0,0,9,12,0,0,0.429,590,390,167,14,36,6,87,87,78,5.4
77,50556,2020,1,KBO,Lotte,31,0,0,0,2,0,8,0,130,94,31,3,11,2,26,16,16,4.85
78,50556,2021,1,KBO,Lotte,44,0,0,4,2,1,20,0.667,195,144,41,6,16,1,45,16,15,2.85
79,50556,2022,1,KBO,Lotte,68,0,0,3,4,14,6,0.429,303,213,63,10,20,6,80,35,32,4.06
80,50556,2023,1,KBO,Lotte,47,0,0,2,3,0,14,0.4,210,148,50,2,18,1,40,15,13,2.45
81,50556,2024,1,KBO,Lotte,27,0,0,1,2,0,3,0.333,105,70,28,2,14,1,12,13,13,5.4
82,50558,2020,1,KBO,Lotte,31,0,0,15,4,0,0,0.789,777,589,148,10,51,7,205,61,54,2.5
83,50558,2021,1,KBO,Lotte,31,0,0,10,12,0,0,0.455,714,502,162,12,67,7,164,85,75,4.07
84,50558,2022,1,KBO,Lotte,11,0,0,4,2,0,0,0.667,260,189,54,5,22,6,55,24,16,2.31
85,50558,2023,1,KBO,Lotte,16,0,0,3,5,0,0,0.375,364,243,82,6,37,10,70,43,39,4.37
86,50563,2021,1,KBO,Lotte,5,0,0,0,0,0,0,-,13,13,3,1,2,0,2,5,5,16.88
87,50573,2022,1,KBO,Lotte,1,0,0,0,0,0,0,-,8,2,6,1,1,0,0,5,5,67.5
88,50592,2020,1,KBO,Lotte,2,0,0,0,0,0,0,-,6,2,3,0,1,0,0,2,2,27
89,50596,2021,1,KBO,Lotte,1,0,0,0,0,0,0,-,3,1,0,0,2,0,0,1,1,27
90,50596,2024,1,KBO,Lotte,3,0,0,0,0,0,0,-,24,16,8,0,1,2,2,7,5,12.27
91,50604,2024,1,KBO,KIA,3,0,0,0,0,0,0,-,14,9,5,1,0,1,3,4,2,7.71
92,50636,2020,1,KBO,KIA,23,1,1,11,4,0,0,0.733,586,456,131,4,24,3,130,43,42,2.5
93,50636,2021,1,KBO,KIA,13,0,0,3,5,0,0,0.375,333,234,93,4,16,1,55,34,29,3.35
94,50640,2020,1,KBO,KIA,28,0,0,11,8,0,0,0.579,702,484,162,7,64,9,141,86,77,4.34
95,50641,2022,1,KBO,KIA,3,0,0,0,0,0,0,-,15,9,3,0,3,0,4,2,2,6
96,50641,2024,1,KBO,KIA,1,0,0,0,0,0,0,-,7,6,2,0,1,0,0,0,0,0
97,50641,2025,1,KBO,KIA,2,0,0,0,0,0,0,-,11,9,3,1,1,0,2,2,2,6
98,50650,2021,1,KBO,KIA,3,0,0,0,1,0,0,0,39,21,11,3,7,1,6,10,10,14.21
99,50662,2020,1,KBO,KIA,47,0,0,5,4,1,11,0.556,172,117,41,2,24,2,32,15,14,3.29
100,50662,2021,1,KBO,KIA,64,0,0,5,4,34,0,0.556,272,198,49,5,28,4,49,18,16,2.2
101,50662,2022,1,KBO,KIA,55,0,0,3,7,32,0,0.3,238,168,54,3,18,0,43,21,21,3.38
102,50662,2023,1,KBO,KIA,52,0,0,3,4,23,1,0.429,218,150,53,3,20,1,30,18,16,2.92
103,50662,2024,1,KBO,KIA,53,0,0,2,3,31,1,0.4,210,157,47,8,16,1,50,14,14,2.49
104,50662,2025,1,KBO,KIA,18,0,0,1,2,11,0,0.333,83,64,18,1,7,1,25,6,5,2.29
105,50705,2020,1,KBO,Hanwha,50,0,0,1,2,1,14,0.333,203,147,41,3,18,0,57,16,14,2.57
106,50705,2021,1,KBO,Hanwha,58,0,0,2,1,5,13,0.667,269,192,51,2,26,5,55,16,15,2.13
107,50705,2022,1,KBO,Hanwha,56,0,0,4,8,7,7,0.333,232,156,44,7,29,4,39,26,24,4.21
108,50705,2023,1,KBO,Hanwha,43,0,0,1,3,0,12,0.25,189,132,35,5,19,8,42,31,31,6.44
109,50706,2020,1,KBO,Hanwha,2,0,0,0,1,0,0,0,35,28,7,0,6,0,5,3,3,3.52
110,50706,2021,1,KBO,Hanwha,4,0,0,0,0,0,0,-,38,24,15,4,2,0,4,8,8,9.82
111,50711,2024,1,KBO,Hanwha,3,0,0,0,0,0,0,-,13,9,4,0,0,1,2,1,1,3
112,50711,2025,1,KBO,Hanwha,3,0,0,0,0,0,0,-,10,6,3,1,3,0,2,5,5,33.75
113,50720,2021,1,KBO,Hanwha,3,0,0,0,1,0,0,0,41,24,9,1,7,3,3,6,6,7.36
114,50720,2022,1,KBO,Hanwha,22,0,0,2,11,0,0,0.154,418,267,109,9,45,3,41,68,63,6.37
115,50720,2023,1,KBO,Hanwha,16,0,0,1,7,0,0,0.125,186,118,54,0,13,6,23,31,27,6.45
116,50720,2024,1,KBO,Hanwha,2,0,0,0,0,0,0,-,17,12,2,0,2,1,3,0,0,0
117,50726,2020,1,KBO,Hanwha,1,0,0,0,0,0,0,-,10,10,3,1,2,0,2,3,3,16.2
118,50726,2022,1,KBO,Hanwha,7,0,0,0,0,0,0,-,76,52,25,0,4,3,12,11,11,6.32
119,50726,2023,1,KBO,Hanwha,47,0,0,1,4,0,2,0.2,320,217,81,6,31,4,55,34,31,3.95
120,50726,2024,1,KBO,Hanwha,18,0,0,0,2,0,0,0,120,66,45,2,10,3,14,31,28,11.45
121,50758,2021,1,KBO,Hanwha,2,0,0,0,0,0,0,-,3,1,0,0,1,0,0,2,0,0
122,50812,2022,1,KBO,SSG,2,0,0,0,0,0,0,-,6,3,3,0,0,0,0,2,2,18
123,50812,2024,1,KBO,SSG,11,0,0,0,0,0,0,-,70,49,18,1,7,2,11,11,11,6.75
124,50812,2025,1,KBO,SSG,9,0,0,0,0,0,1,-,57,42,10,1,7,0,10,3,3,1.93
125,50813,2020,1,KBO,SK,1,0,0,0,0,0,0,-,5,3,1,1,2,0,0,1,1,9
126,50813,2021,1,KBO,SSG,1,0,0,0,1,0,0,0,10,3,3,0,3,1,1,3,3,27
127,50815,2020,1,KBO,SK,2,0,0,0,2,0,0,0,52,37,16,1,4,0,6,11,8,6.75
128,50815,2021,1,KBO,Hanwha,25,0,0,10,8,0,0,0.556,591,432,117,11,41,5,131,58,51,3.19
129,50815,2022,1,KBO,Hanwha,3,0,0,1,2,0,0,0.333,70,51,15,1,5,1,18,6,5,2.76
