kbobID,playerID,yearID,stint,lgID,teamID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GIDP,PA,TB,AVG,SLG,OBP,OPS,BB_pct,K_pct
1,50007,2022,1,KBO,KT,2,3,0,1,1,0,0,0,0,0,0,2,0,3,2,0.333,0.667,0.333,1.0,0.0,0.667
2,50007,2023,1,KBO,KT,2,5,1,1,0,0,0,0,0,0,0,4,0,5,1,0.2,0.2,0.2,0.4,0.0,0.8
3,50054,2020,1,KBO,KT,66,69,9,14,3,0,0,1,1,1,7,15,0,76,17,0.203,0.246,0.276,0.523,0.092,0.197
4,50054,2021,1,KBO,KT,41,42,13,12,1,0,0,4,1,0,3,9,0,45,13,0.286,0.31,0.333,0.643,0.067,0.2
5,50054,2024,1,KBO,KT,75,234,41,69,8,3,1,17,7,0,18,43,5,252,86,0.295,0.368,0.345,0.713,0.071,0.171
6,50054,2025,1,KBO,KT,23,52,7,11,5,1,0,7,0,1,8,9,1,60,18,0.212,0.346,0.317,0.663,0.133,0.15
7,50066,2020,1,KBO,KT,26,30,2,6,2,0,1,3,0,0,2,11,1,32,11,0.2,0.367,0.25,0.617,0.062,0.344
8,50066,2023,1,KBO,KT,53,103,11,20,6,0,1,11,0,1,6,17,3,109,29,0.194,0.282,0.239,0.52,0.055,0.156
9,50066,2024,1,KBO,KT,18,26,4,8,1,0,1,8,0,0,8,10,0,34,12,0.308,0.462,0.471,0.932,0.235,0.294
10,50066,2025,1,KBO,KT,10,12,0,2,0,0,0,1,0,0,3,4,0,15,2,0.167,0.167,0.333,0.5,0.2,0.267
11,50092,2024,1,KBO,KT,13,17,3,3,2,0,0,0,0,0,1,6,0,18,5,0.176,0.294,0.222,0.516,0.056,0.333
12,50092,2025,1,KBO,KT,15,14,1,1,1,0,0,0,1,0,0,4,0,14,2,0.071,0.143,0.071,0.214,0.0,0.286
13,50106,2024,1,KBO,LG,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
14,50108,2024,1,KBO,LG,15,14,3,2,0,0,0,0,0,0,2,3,1,16,2,0.143,0.143,0.25,0.393,0.125,0.188
15,50108,2025,1,KBO,LG,4,11,0,2,1,0,0,1,0,0,0,2,0,11,3,0.182,0.273,0.182,0.455,0.0,0.182
16,50109,2024,1,KBO,KT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
17,50115,2024,1,KBO,LG,4,3,0,0,0,0,0,0,0,0,0,2,0,3,0,0.0,0.0,0.0,0.0,0.0,0.667
18,50150,2020,1,KBO,LG,23,30,9,11,2,0,0,3,5,0,1,6,2,31,13,0.367,0.433,0.387,0.82,0.032,0.194
19,50150,2021,1,KBO,LG,8,10,2,1,0,0,0,0,0,0,1,2,0,11,1,0.1,0.1,0.182,0.282,0.091,0.182
