kbofID,playerID,yearID,stint,lgID,teamID,POS,G,PO,A,E,DP,PB,FP,RF
1,50007,2022,1,KBO,KT,SS,1,1,1,0,0,0,1,2
2,50007,2022,1,KBO,KT,2B,1,1,0,0,0,0,1,1
3,50007,2023,1,KBO,KT,2B,2,1,0,1,0,0,0.5,0.5
4,50007,2023,1,KBO,KT,SS,1,0,0,0,0,0,,0
5,50030,2020,1,KBO,KT,P,26,8,17,0,0,0,1,0.962
6,50030,2021,1,KBO,KT,P,24,14,17,1,2,0,0.969,1.292
7,50030,2022,1,KBO,KT,P,27,12,25,1,2,0,0.974,1.37
8,50030,2023,1,KBO,KT,P,3,2,2,1,1,0,0.8,1.333
9,50030,2024,1,KBO,KT,P,6,2,1,0,0,0,1,0.5
10,50030,2025,1,KBO,KT,P,9,6,17,1,2,0,0.958,2.556
11,50036,2020,1,KBO,KT,P,4,0,1,0,0,0,1,0.25
12,50036,2021,1,KBO,Lotte,P,15,0,0,0,0,0,,0
13,50036,2022,1,KBO,Lotte,P,13,3,0,0,0,0,1,0.231
14,50036,2025,1,KBO,Kiwoom,P,21,0,3,2,1,0,0.6,0.143
15,50040,2020,1,KBO,KT,P,35,14,23,0,2,0,1,1.057
16,50040,2021,1,KBO,KT,P,33,9,36,1,0,0,0.978,1.364
17,50040,2022,1,KBO,KT,P,30,17,20,1,2,0,0.974,1.233
18,50054,2020,1,KBO,KT,2B,35,22,34,3,5,0,0.949,1.6
19,50054,2020,1,KBO,KT,3B,20,4,15,0,2,0,1,0.95
20,50054,2020,1,KBO,KT,SS,4,1,5,0,1,0,1,1.5
21,50054,2020,1,KBO,KT,1B,1,0,1,0,0,0,1,1
22,50054,2021,1,KBO,KT,1B,12,31,0,1,2,0,0.969,2.583
23,50054,2021,1,KBO,KT,2B,9,4,11,0,2,0,1,1.667
24,50054,2021,1,KBO,KT,3B,8,0,5,2,1,0,0.714,0.625
25,50054,2024,1,KBO,KT,2B,55,73,116,4,27,0,0.979,3.436
26,50054,2024,1,KBO,KT,OF,7,7,1,0,1,0,1,1.143
27,50054,2024,1,KBO,KT,3B,3,1,4,0,0,0,1,1.667
