playerID,birthYear,birthMonth,birthDay,birthCountry,nameLast,nameFirst,nameFull,weight,height,bats,throws
50007,2001,3,14,South Korea,Moon,Sang-Jun,Sang-Jun Moon,176,72,R,R
50030,2001,9,16,South Korea,So,Hyeong-Jun,Hyeong-Jun So,203,74,R,R
50036,2001,12,14,South Korea,Lee,Gang-Jun,Gang-Jun Lee,176,71,R,R
50040,1987,4,4,Cuba,Despaigne,Odrisamer,Odrisamer Despaigne,203,72,R,R
50054,1997,10,30,South Korea,Cheon,Seong-Ho,Seong-Ho Cheon,187,72,L,R
50066,2001,4,13,South Korea,Kang,Hyeon-U,Hyeon-U Kang,198,71,R,R
50092,2001,7,26,South Korea,Yoon,Jun-Hyeok,Jun-Hyeok Yoon,190,73,R,R
50106,1997,3,7,South Korea,Yoo,Yeong-Chan,Yeong-Chan Yoo,198,73,R,R
50108,2001,8,18,South Korea,Ham,Chang-Geon,Chang-Geon Ham,183,69,L,L
50109,1997,12,22,South Korea,Seong,Jae-Heon,Jae-Heon Seong,181,69,L,L
50115,1997,10,19,South Korea,Kim,Su-In,Su-In Kim,179,70,R,R
50126,2001,8,30,South Korea,Lee,Min-Ho,Min-Ho Lee,205,74,R,R
50150,1994,8,23,South Korea,Son,Ho-Yeong,Ho-Yeong Son,194,72,R,R
50157,2000,4,3,South Korea,Kim,Yun-Sik,Yun-Sik Kim,183,71,L,L
50165,1994,12,28,Mexico,Ramos,Henry,Henry Ramos,254,76,L,R
50167,2001,4,2,South Korea,Lee,Ju-Hyeong,Ju-Hyeong Lee,176,71,L,R
50202,1993,4,19,Japan,An,Kwon-Soo,Kwon-Soo An,176,69,L,R
50203,2000,12,7,South Korea,Kwon,Hwi,Hwi Kwon,192,71,R,R
50204,2000,9,7,South Korea,Park,Ji-Hun,Ji-Hun Park,176,72,R,R
50205,1997,11,12,South Korea,Park,Ung,Ung Park,227,76,R,R
50206,2001,5,1,South Korea,Choi,Jong-In,Jong-In Choi,185,73,R,R
50208,2001,9,4,South Korea,Oh,Myeong-Jin,Myeong-Jin Oh,174,70,L,R
50211,2000,9,30,South Korea,Je,Hwan-Yu,Hwan-Yu Je,168,72,L,R
50234,1994,7,1,United States,Flexen,Chris,Chris Flexen,249,75,R,R
50244,2001,4,21,South Korea,Jang,Gyu-Bin,Gyu-Bin Jang,216,73,R,R
50262,2001,3,26,South Korea,Lee,Ju-Yeop,Ju-Yeop Lee,198,74,R,R
50293,1997,5,25,South Korea,Yang,Chan-Yeol,Chan-Yeol Yang,185,70,L,R
50296,2001,2,12,South Korea,Cho,Je-Yeong,Je-Yeong Cho,196,72,R,R
50298,2001,6,1,South Korea,Choi,Se-Chang,Se-Chang Choi,209,74,R,R
50300,1989,9,18,United States,Motter,Taylor,Taylor Motter,194,73,R,R
