kbopID,playerID,yearID,stint,lgID,teamID,G,W,L,CG,SHO,SV,IPouts,H,HR,BB,HBP,SO,R,ER,ERA,BFP,WPCT
1,50030,2020,1,KBO,KT,26,13,6,0,0,0,399,141,6,45,6,92,63,57,3.86,572,0.684
2,50030,2021,1,KBO,KT,24,7,7,0,0,0,357,123,6,51,4,85,67,55,4.16,521,0.5
3,50030,2022,1,KBO,KT,27,13,6,0,0,0,516,158,8,39,5,117,68,58,3.05,703,0.684
4,50030,2023,1,KBO,KT,3,0,0,0,0,0,33,22,1,3,3,4,14,14,11.45,59,-
5,50030,2024,1,KBO,KT,6,2,0,0,0,0,27,7,1,1,1,3,3,3,3.24,30,1
6,50030,2025,1,KBO,KT,8,3,2,0,0,0,148,40,2,14,1,52,16,15,2.83,193,0.6
7,50036,2020,1,KBO,KT,4,0,0,0,0,0,22,9,1,5,3,3,4,4,6.35,33,-
8,50036,2021,1,KBO,Lotte,15,1,0,0,0,0,27,11,1,13,2,4,11,10,10.8,48,1
9,50036,2022,1,KBO,Lotte,13,0,0,0,0,0,34,9,1,20,0,6,11,11,10.24,57,-
10,50036,2025,1,KBO,Kiwoom,16,0,0,0,0,0,45,19,2,8,2,13,13,9,5.65,69,-
11,50040,2020,1,KBO,KT,35,15,8,0,0,0,628,233,18,68,8,152,105,100,4.33,906,0.652
12,50040,2021,1,KBO,KT,33,13,10,0,0,0,571,175,10,78,7,165,81,71,3.39,819,0.565
13,50040,2022,1,KBO,KT,30,8,12,0,0,0,489,198,14,48,9,123,94,82,4.53,725,0.4
14,50106,2023,1,KBO,LG,67,6,3,0,0,1,204,55,4,40,7,55,27,26,3.44,305,0.667
15,50106,2024,1,KBO,LG,62,7,5,0,0,26,196,61,2,30,3,77,24,21,2.97,286,0.583
16,50109,2020,1,KBO,LG,4,0,0,0,0,0,15,6,0,1,1,1,2,2,4.15,20,-
17,50109,2024,1,KBO,KT,30,0,0,0,0,0,96,46,1,16,5,20,29,26,7.31,159,-
18,50126,2020,1,KBO,LG,20,4,4,0,0,0,298,94,5,44,10,67,46,40,3.69,434,0.5
19,50126,2021,1,KBO,LG,25,8,9,0,0,0,345,89,13,45,14,100,58,55,4.3,477,0.471
20,50126,2022,1,KBO,LG,26,12,8,0,0,0,360,146,14,43,7,73,77,73,5.51,540,0.6
21,50126,2023,1,KBO,LG,5,0,2,0,0,0,64,22,1,10,0,7,13,11,5.03,91,0
22,50157,2020,1,KBO,LG,23,2,4,0,0,0,208,87,7,24,6,38,50,47,6.25,308,0.333
23,50157,2021,1,KBO,LG,35,7,4,0,0,0,205,65,3,36,6,56,37,33,4.46,301,0.636
24,50157,2022,1,KBO,LG,23,8,5,0,0,0,345,125,5,27,1,81,46,42,3.31,483,0.615
25,50157,2023,1,KBO,LG,17,6,4,0,0,0,229,86,4,25,3,42,35,35,4.22,320,0.6
26,50157,2024,1,KBO,LG,1,0,0,0,0,0,9,7,0,1,0,1,4,4,12,17,-
27,50203,2020,1,KBO,Doosan,14,0,1,0,0,0,46,16,1,6,2,10,8,8,5.27,63,0
28,50203,2021,1,KBO,Doosan,24,0,0,0,0,0,63,16,0,14,2,15,6,6,2.66,92,-
29,50203,2022,1,KBO,Doosan,10,0,0,0,0,0,30,8,1,5,1,5,6,6,5.79,40,-
30,50203,2024,1,KBO,Doosan,8,0,0,0,0,0,27,15,0,7,0,11,11,11,11,49,-
31,50205,2021,1,KBO,Doosan,10,0,0,0,0,0,40,12,0,4,3,7,7,7,5.4,49,-
32,50205,2022,1,KBO,Doosan,8,0,0,0,0,0,18,7,0,7,0,3,3,2,3,33,-
33,50206,2024,1,KBO,Doosan,11,1,0,0,0,1,34,8,2,5,0,8,4,4,3.72,42,1
34,50206,2025,1,KBO,Doosan,3,0,0,0,0,0,10,1,0,3,0,5,1,1,5.4,9,-
35,50211,2023,1,KBO,Doosan,1,0,0,0,0,0,6,3,0,4,0,2,4,3,13.5,14,-
36,50234,2020,1,KBO,Doosan,21,8,4,0,0,0,355,97,6,30,2,132,43,39,3.01,472,0.667
37,50262,2020,1,KBO,Doosan,4,0,0,0,0,0,12,3,0,7,0,2,3,3,8.1,19,-
38,50296,2020,1,KBO,Doosan,4,0,1,0,0,0,18,6,1,7,1,6,7,7,10.5,31,0
39,50296,2021,1,KBO,Doosan,6,0,1,0,0,0,37,18,1,10,1,5,13,13,10.97,60,0
40,50298,2020,1,KBO,Doosan,3,0,0,0,0,0,9,5,1,0,0,1,2,1,3,15,-
41,50298,2021,1,KBO,Doosan,1,0,0,0,0,0,6,1,0,1,0,0,0,0,0,5,-
42,50354,2021,1,KBO,Kiwoom,2,0,0,0,0,0,9,4,1,7,0,3,6,6,23.14,17,-
43,50354,2023,1,KBO,Kiwoom,11,0,1,0,0,0,46,22,0,6,1,10,13,11,7.24,72,0
44,50354,2024,1,KBO,Kiwoom,12,1,8,0,0,0,136,56,9,22,5,21,39,37,7.63,212,0.111
45,50360,2020,1,KBO,Kiwoom,8,0,1,0,0,0,31,8,1,1,1,6,5,5,5.19,36,0
46,50360,2021,1,KBO,Kiwoom,40,0,5,0,0,1,246,89,5,34,14,30,51,46,5.05,367,0
47,50360,2022,1,KBO,Kiwoom,24,2,1,0,0,0,85,28,0,11,1,18,14,14,4.73,115,0.667
48,50360,2023,1,KBO,Kiwoom,35,1,7,0,0,0,120,51,1,18,6,24,34,32,7.32,192,0.125
49,50360,2024,1,KBO,Kiwoom,17,0,2,0,0,0,69,27,7,10,2,9,21,17,6.85,102,0
50,50393,2021,1,KBO,Kiwoom,3,0,0,0,0,0,9,7,2,1,0,2,3,3,9,16,-
51,50393,2024,1,KBO,Kiwoom,37,2,1,0,0,0,108,33,4,6,2,18,20,20,5,146,0.667
52,50397,2020,1,KBO,Kiwoom,1,0,1,0,0,0,1,1,0,1,0,1,1,1,27,3,0
53,50397,2021,1,KBO,Kiwoom,2,0,0,0,0,0,2,5,0,3,1,0,9,6,81,12,-
54,50404,2020,1,KBO,Samsung,27,15,7,1,0,0,529,172,16,50,7,121,71,67,3.45,728,0.682
55,50404,2021,1,KBO,Samsung,30,16,5,1,1,0,531,173,13,59,2,162,71,61,3.1,758,0.762
56,50404,2022,1,KBO,Samsung,26,11,8,1,1,0,480,176,10,39,8,117,61,54,3.04,691,0.579
57,50404,2023,1,KBO,Samsung,30,12,8,1,0,0,564,174,4,43,6,139,71,53,2.54,784,0.6
58,50411,2022,1,KBO,Samsung,8,0,0,0,0,0,25,5,1,4,0,3,3,1,1.35,29,-
59,50430,2020,1,KBO,Samsung,1,0,0,0,0,0,3,1,0,1,1,0,0,0,0,6,-
60,50430,2023,1,KBO,Samsung,3,0,0,0,0,0,16,2,0,2,0,1,1,1,2.45,15,-
61,50430,2024,1,KBO,Samsung,4,0,0,0,0,0,21,4,1,6,0,5,3,3,4.26,28,-
62,50441,2020,1,KBO,Samsung,1,0,0,0,0,0,6,8,1,4,0,3,8,8,54,16,-
63,50441,2022,1,KBO,Samsung,16,1,3,0,0,0,201,91,9,31,0,53,58,52,7.06,312,0.25
64,50441,2023,1,KBO,Samsung,7,0,5,0,0,0,100,40,6,21,2,27,27,25,7.11,155,0
65,50441,2024,1,KBO,Samsung,15,1,2,0,0,0,126,38,2,18,4,30,20,19,4.07,180,0.333
66,50441,2025,1,KBO,Samsung,2,0,0,0,0,0,9,2,0,1,0,3,0,0,0,12,-
67,50449,2020,1,KBO,Samsung,11,2,1,0,0,0,135,43,4,31,2,18,26,24,4.8,204,0.667
68,50449,2021,1,KBO,Samsung,1,0,1,0,0,0,16,8,1,1,1,3,6,5,12.27,22,0
69,50449,2022,1,KBO,Samsung,12,4,3,0,0,0,165,64,8,34,6,36,43,40,6.55,264,0.571
70,50449,2023,1,KBO,Samsung,7,0,1,0,0,0,37,16,0,12,0,8,12,12,10.13,60,0
71,50464,2020,1,KBO,Samsung,7,1,3,0,0,0,81,34,5,19,0,16,21,20,6.84,128,0.25
72,50464,2021,1,KBO,Samsung,11,1,4,0,0,0,112,50,6,18,3,22,34,34,8.58,173,0.2
73,50464,2022,1,KBO,Samsung,2,0,0,0,0,0,18,2,0,5,0,2,1,1,1.69,23,-
74,50464,2024,1,KBO,Samsung,25,1,4,0,0,0,144,71,14,26,3,23,48,45,8.56,237,0.2
75,50464,2025,1,KBO,Samsung,11,1,0,0,0,0,48,17,2,3,1,15,7,6,3.38,69,1
76,50524,2020,1,KBO,Lotte,25,9,12,0,0,0,390,167,14,36,6,87,87,78,5.4,590,0.429
77,50556,2020,1,KBO,Lotte,31,0,2,0,0,0,94,31,3,11,2,26,16,16,4.85,130,0
78,50556,2021,1,KBO,Lotte,44,4,2,0,0,1,144,41,6,16,1,45,16,15,2.85,195,0.667
79,50556,2022,1,KBO,Lotte,68,3,4,0,0,14,213,63,10,20,6,80,35,32,4.06,303,0.429
80,50556,2023,1,KBO,Lotte,47,2,3,0,0,0,148,50,2,18,1,40,15,13,2.45,210,0.4
81,50556,2024,1,KBO,Lotte,27,1,2,0,0,0,70,28,2,14,1,12,13,13,5.4,105,0.333
82,50558,2020,1,KBO,Lotte,31,15,4,0,0,0,589,148,10,51,7,205,61,54,2.5,777,0.789
83,50558,2021,1,KBO,Lotte,31,10,12,0,0,0,502,162,12,67,7,164,85,75,4.07,714,0.455
84,50558,2022,1,KBO,Lotte,11,4,2,0,0,0,189,54,5,22,6,55,24,16,2.31,260,0.667
85,50558,2023,1,KBO,Lotte,16,3,5,0,0,0,243,82,6,37,10,70,43,39,4.37,364,0.375
86,50563,2021,1,KBO,Lotte,5,0,0,0,0,0,13,3,1,2,0,2,5,5,16.88,13,-
87,50573,2022,1,KBO,Lotte,1,0,0,0,0,0,2,6,1,1,0,0,5,5,67.5,8,-
88,50592,2020,1,KBO,Lotte,2,0,0,0,0,0,2,3,0,1,0,0,2,2,27,6,-
89,50596,2021,1,KBO,Lotte,1,0,0,0,0,0,1,0,0,2,0,0,1,1,27,3,-
90,50596,2024,1,KBO,Lotte,3,0,0,0,0,0,16,8,0,1,2,2,7,5,12.27,24,-
91,50604,2024,1,KBO,KIA,3,0,0,0,0,0,9,5,1,0,1,3,4,2,7.71,14,-
92,50636,2020,1,KBO,KIA,23,11,4,1,1,0,456,131,4,24,3,130,43,42,2.5,586,0.733
93,50636,2021,1,KBO,KIA,13,3,5,0,0,0,234,93,4,16,1,55,34,29,3.35,333,0.375
94,50640,2020,1,KBO,KIA,28,11,8,0,0,0,484,162,7,64,9,141,86,77,4.34,702,0.579
95,50641,2022,1,KBO,KIA,3,0,0,0,0,0,9,3,0,3,0,4,2,2,6,15,-
96,50641,2024,1,KBO,KIA,1,0,0,0,0,0,6,2,0,1,0,0,0,0,0,7,-
97,50641,2025,1,KBO,KIA,2,0,0,0,0,0,9,3,1,1,0,2,2,2,6,11,-
98,50650,2021,1,KBO,KIA,3,0,1,0,0,0,21,11,3,7,1,6,10,10,14.21,39,0
99,50662,2020,1,KBO,KIA,47,5,4,0,0,1,117,41,2,24,2,32,15,14,3.29,172,0.556
100,50662,2021,1,KBO,KIA,64,5,4,0,0,34,198,49,5,28,4,49,18,16,2.2,272,0.556
101,50662,2022,1,KBO,KIA,55,3,7,0,0,32,168,54,3,18,0,43,21,21,3.38,238,0.3
102,50662,2023,1,KBO,KIA,52,3,4,0,0,23,150,53,3,20,1,30,18,16,2.92,218,0.429
103,50662,2024,1,KBO,KIA,53,2,3,0,0,31,157,47,8,16,1,50,14,14,2.49,210,0.4
104,50662,2025,1,KBO,KIA,18,1,2,0,0,11,64,18,1,7,1,25,6,5,2.29,83,0.333
105,50705,2020,1,KBO,Hanwha,50,1,2,0,0,1,147,41,3,18,0,57,16,14,2.57,203,0.333
106,50705,2021,1,KBO,Hanwha,58,2,1,0,0,5,192,51,2,26,5,55,16,15,2.13,269,0.667
107,50705,2022,1,KBO,Hanwha,56,4,8,0,0,7,156,44,7,29,4,39,26,24,4.21,232,0.333
108,50705,2023,1,KBO,Hanwha,43,1,3,0,0,0,132,35,5,19,8,42,31,31,6.44,189,0.25
