playerID,yearID,stint,lgID,teamID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GIDP,PA,TB,AVG,SLG,OBP,OPS,BB_pct,K_pct
100001,1936,1,JBL,KYOJIN,24,47,4,10,2,0,0,8,1,,3,4,,,12,0.213,0.255,,,,
100001,1937,1,JBL,KYOJIN,41,78,8,17,1,2,1,11,2,,7,8,,,25,0.218,0.321,,,,
100001,1938,1,JBL,KYOJIN,8,2,3,1,0,0,0,0,0,,0,1,,,1,0.5,0.5,,,,
100001,1939,1,JBL,KYOJIN,9,3,2,0,0,0,0,0,1,,1,0,,4,0,0,0,0.25,0.25,0.25,0
100001,1940,1,JBL,KYOJIN,7,3,0,0,0,0,0,0,1,,2,1,,5,0,0,0,0.4,0.4,0.4,0.2
100001,1941,1,JBL,KYOJIN,2,1,1,0,0,0,0,0,0,,1,0,,,0,0,0,,,,
100001,1942,1,JBL,KYOJIN,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,
100002,1936,1,JBL,KYOJIN,22,57,9,8,3,0,0,3,1,,5,6,,,11,0.14,0.193,,,,
100002,1937,1,JBL,KYOJIN,96,343,44,77,10,8,3,46,6,,31,25,,,112,0.224,0.327,,,,
100002,1938,1,JBL,KYOJIN,43,127,16,23,0,1,1,19,2,,13,15,,,28,0.181,0.22,,,,
100002,1939,1,JBL,KYOJIN,47,84,7,21,2,2,0,11,2,,10,12,,97,27,0.25,0.321,0.323,0.644,0.103,0.124
100002,1940,1,JBL,KYOJIN,33,29,4,7,1,0,1,6,0,,4,3,,34,11,0.241,0.379,0.324,0.703,0.118,0.088
100002,1941,1,JBL,KYOJIN,18,11,1,1,0,0,0,0,0,,0,2,,,1,0.091,0.091,,,,
100002,1942,1,JBL,KYOJIN,37,67,4,10,0,0,0,3,1,0,2,9,,,10,0.149,0.149,,,,
100002,1943,1,JBL,KYOJIN,43,71,1,11,2,1,0,8,0,1,3,1,,,15,0.155,0.211,,,,
100003,1936,1,JBL,SENATORS,39,100,19,17,4,1,1,13,10,,42,21,,,26,0.17,0.26,,,,
100003,1937,1,JBL,SENATORS,69,217,22,44,9,1,0,12,7,,39,47,,,55,0.203,0.253,,,,
100003,1938,1,JBL,EAGLES,43,110,10,16,5,0,2,9,1,,14,24,,,27,0.145,0.245,,,,
100004,1936,1,JBL,KINKO,3,7,0,1,0,0,0,0,0,,0,1,,,1,0.143,0.143,,,,
100004,1937,1,JBL,NAGOYA,39,79,8,16,1,1,1,7,1,,4,17,,,22,0.203,0.278,,,,
100004,1938,1,JBL,NAGOYA,9,13,0,1,0,0,0,0,0,,1,7,,,1,0.077,0.077,,,,
100005,1936,1,JBL,HANKYU,38,160,24,26,4,3,1,23,12,,10,24,,,39,0.162,0.244,,,,
100005,1937,1,JBL,HANKYU,73,240,22,60,15,2,5,42,8,,25,25,,,94,0.25,0.392,,,,
100005,1938,1,JBL,HANKYU,58,224,34,59,8,6,3,35,11,,19,14,,,88,0.263,0.393,,,,
100005,1939,1,JBL,OSAKA,96,396,61,98,12,5,7,57,17,,30,24,,436,141,0.247,0.356,0.308,0.664,0.069,0.055
100005,1940,1,JBL,HANSHIN,98,395,55,95,22,2,3,38,29,,34,33,,436,130,0.241,0.329,0.303,0.632,0.078,0.076
100005,1941,1,JBL,HANSHIN,28,104,8,21,3,0,3,14,2,,10,17,,,33,0.202,0.317,,,,
100006,1936,1,JBL,HANKYU,47,178,35,62,9,1,6,33,8,,34,11,,,91,0.348,0.511,,,,
100006,1937,1,JBL,HANKYU,64,198,29,50,9,3,7,44,6,,51,30,,,86,0.253,0.434,,,,
100006,1938,1,JBL,HANKYU,40,130,21,39,7,2,2,28,2,,24,11,,,56,0.3,0.431,,,,
100006,1939,1,JBL,HANKYU,43,144,16,38,10,1,2,26,4,,27,18,,174,56,0.264,0.389,0.382,0.77,0.155,0.103
100006,1940,1,JBL,HANKYU,22,74,9,9,4,1,1,8,0,,12,11,,86,18,0.122,0.243,0.244,0.487,0.14,0.128
100006,1942,1,JBL,NAGOYA,23,74,2,10,0,0,1,3,0,0,9,12,,,13,0.135,0.176,,,,
100007,1936,1,JBL,DAI TOKYO,14,45,6,11,3,2,0,6,2,,7,6,,,18,0.244,0.4,,,,
100008,1936,1,JBL,HANKYU,33,121,19,43,9,0,1,19,3,,9,10,,,55,0.355,0.455,,,,
100008,1937,1,JBL,HANKYU,70,214,19,48,11,1,4,34,2,,17,12,,,73,0.224,0.341,,,,
100008,1938,1,JBL,HANKYU,54,173,15,40,4,0,4,25,0,,19,10,,,56,0.231,0.324,,,,
100009,1936,1,JBL,KINKO,12,52,6,13,1,0,0,6,4,,7,2,,,14,0.25,0.269,,,,
100009,1936,2,JBL,HANKYU,22,84,13,11,0,0,0,5,3,,12,9,,,11,0.131,0.131,,,,
100009,1937,1,JBL,HANKYU,98,389,60,96,14,0,2,42,19,,49,25,,,116,0.247,0.298,,,,
100009,1938,1,JBL,HANKYU,75,306,50,79,11,3,8,39,16,,38,20,,,120,0.258,0.392,,,,
100009,1939,1,JBL,HANKYU,74,262,30,57,11,0,1,32,13,,38,18,,308,71,0.218,0.271,0.319,0.59,0.123,0.058
100009,1940,1,JBL,HANKYU,102,365,40,78,10,1,0,29,21,,47,31,,427,90,0.214,0.247,0.308,0.555,0.11,0.073
100009,1941,1,JBL,HANKYU,84,303,34,60,6,0,3,23,15,,55,23,,,75,0.198,0.248,,,,
100009,1942,1,JBL,HANKYU,105,389,25,83,15,0,1,42,23,2,72,32,,,101,0.213,0.26,,,,
100010,1936,1,JBL,NAGOYA,42,150,26,38,9,2,3,28,10,,25,17,,,60,0.253,0.4,,,,
100010,1937,1,JBL,KORAKUEN,104,370,71,100,20,6,8,57,14,,83,39,,,156,0.27,0.422,,,,
100010,1940,1,JBL,KUROWASHI,13,36,1,10,2,0,0,2,1,,1,4,,37,12,0.278,0.333,0.297,0.631,0.027,0.108
100010,1941,1,JBL,KUROWASHI,36,132,8,20,4,0,1,8,2,,2,8,,,27,0.152,0.205,,,,
100010,1943,1,JBL,YAMATO,54,178,14,35,5,1,1,11,2,2,25,12,,,45,0.197,0.253,,,,
100011,1936,1,JBL,OSAKA,21,63,8,18,6,0,0,7,0,,2,4,,,24,0.286,0.381,,,,
100011,1937,1,JBL,OSAKA,40,76,5,18,4,0,0,4,1,,6,6,,,22,0.237,0.289,,,,
100011,1938,1,JBL,OSAKA,7,23,5,8,0,0,0,3,0,,0,1,,,8,0.348,0.348,,,,
100011,1939,1,JBL,OSAKA,53,143,14,38,3,3,1,16,1,,6,7,,158,50,0.266,0.35,0.293,0.643,0.038,0.044
100011,1940,1,JBL,HANSHIN,69,150,10,24,7,1,0,13,1,,8,14,,167,33,0.16,0.22,0.211,0.431,0.048,0.084
100011,1941,1,JBL,HANSHIN,53,135,10,28,5,0,0,10,1,,14,10,,,33,0.207,0.244,,,,
100011,1942,1,JBL,HANSHIN,71,170,14,32,3,1,1,12,6,3,13,11,,,40,0.188,0.235,,,,
100011,1943,1,JBL,HANSHIN,55,153,11,36,2,0,1,22,3,3,18,10,,,41,0.235,0.268,,,,
