playerID,yearID,stint,lgID,teamID,G,W,L,CG,SHO,SV,IPouts,H,HR,BB,HBP,SO,R,ER,ERA,BFP,WPCT
100004,1936,1,JBL,KINKO,2,1,0,1,0,,39,9,0,11,0,10,4,3,2.076923077,55,1
100004,1937,1,JBL,NAGOYA,37,7,16,10,1,,630,169,2,171,4,74,116,72,3.085714286,951,0.304
100004,1938,1,JBL,NAGOYA,3,0,0,0,0,,34,13,0,4,0,5,8,4,3.176470588,53,
100008,1936,1,JBL,HANKYU,2,0,1,0,0,,26,14,0,8,0,3,10,8,8.307692308,48,0
100008,1937,1,JBL,HANKYU,3,1,1,1,0,,43,13,1,15,0,2,8,6,3.76744186,70,0.5
100008,1938,1,JBL,HANKYU,19,9,5,8,0,,380,92,5,78,5,40,58,49,3.481578947,540,0.643
100009,1940,1,JBL,HANKYU,1,0,0,0,0,,9,0,0,3,0,1,0,0,0,12,
100011,1936,1,JBL,OSAKA,21,10,6,8,1,,431,130,4,57,4,66,66,49,3.069605568,629,0.625
100011,1937,1,JBL,OSAKA,40,17,6,10,2,,590,180,3,50,2,76,79,47,2.150847458,827,0.739
100011,1938,1,JBL,OSAKA,7,4,2,2,0,,134,32,2,18,0,14,18,15,3.02238806,184,0.667
100011,1939,1,JBL,OSAKA,48,28,7,25,8,,990,248,4,91,3,99,79,40,1.090909091,1326,0.8
100011,1940,1,JBL,HANSHIN,56,22,17,23,6,,1042,266,5,108,4,88,94,70,1.813819578,1380,0.564
100011,1941,1,JBL,HANSHIN,42,18,17,21,2,,965,234,2,102,1,87,70,52,1.45492228,1264,0.514
100011,1942,1,JBL,HANSHIN,58,26,12,24,4,,1132,294,4,127,3,109,96,67,1.598056537,1518,0.684
100011,1943,1,JBL,HANSHIN,52,24,15,39,10,,1247,299,1,123,2,99,80,49,1.060946271,1656,0.615
100011,1944,1,JBL,HANSHIN,31,22,4,24,5,,744,199,1,53,0,45,59,43,1.560483871,990,0.846
100011,1946,1,JBL,OSAKA,12,4,4,7,0,,248,83,1,38,3,25,35,28,3.048387097,359,0.5
100011,1947,1,JBL,OSAKA,43,26,12,31,10,,995,277,8,69,5,86,101,77,2.089447236,1318,0.684
100011,1948,1,JBL,OSAKA,48,17,20,26,4,,979,318,7,66,2,78,120,90,2.482124617,1338,0.459
100011,1949,1,JBL,OSAKA,43,15,14,19,4,,813,271,14,73,3,93,117,99,3.287822878,1135,0.517
100011,1950,1,PL,MAINICHI,14,4,3,4,1,,219,79,7,15,0,20,41,30,3.698630137,306,0.571
100011,1951,1,PL,MAINICHI,11,0,4,0,0,,123,46,6,6,0,14,29,22,4.829268293,173,0
100011,1953,1,PL,MAINICHI,2,0,1,0,0,,20,15,0,2,0,1,9,8,10.8,35,0
100015,1936,1,JBL,NAGOYA,1,0,0,0,0,,9,2,0,0,0,3,0,0,0,-1,
100018,1936,1,JBL,NAGOYA,12,2,5,3,0,,175,65,1,57,2,26,52,42,6.48,257,0.286
100019,1938,1,JBL,SENATORS,1,0,0,0,0,,3,1,0,0,0,0,0,0,0,5,
100019,1939,1,JBL,SENATORS,6,0,1,1,0,,93,29,1,13,1,8,17,15,4.35483871,136,0
100019,1940,1,JBL,TSUBASA,2,0,1,0,0,,27,12,1,5,0,5,9,6,6,43,0
100021,1936,1,JBL,NAGOYA,23,8,9,9,2,,404,119,2,113,4,31,66,45,3.007425743,631,0.471
100029,1936,1,JBL,KINKO,25,6,12,6,1,,404,114,0,71,4,55,67,43,2.873762376,600,0.333
100029,1937,1,JBL,KINKO,56,22,17,25,3,,1050,257,3,210,9,142,140,94,2.417142857,1523,0.564
