mnkpID,playerID,mlb_playerID,npb_playerID,kbo_playerID,yearID,stint,lgID,teamID,transition_indicator,G,W,L,CG,SHO,SV,IPouts,H,HR,BB,HBP,SO,R,ER,ERA,BFP,WPCT,AL_indicator,NL_indicator,CL_indicator,PL_indicator,KBO_indicator
73,MLB_abbotky01_NPB_104266_KBO_,,104266.0,,1994,1,PL,KINTETSU,3,4,0,0,0.0,0,0.0,35,25,0,9,0.0,8,11.0,10.0,7.714285714,65.0,,0,0,0,1,0
139,MLB_abreuwi01_NPB_105557_KBO_,,105557.0,,2008,1,PL,LOTTE,3,20,1,2,0.0,0,0.0,65,23,2,8,0.0,24,9.0,8.0,3.323076923,94.0,0.333,0,0,0,1,0
214,MLB_acostma01_NPB_106056_KBO_,,106056.0,,2013,1,CL,YOMIURI,2,14,1,0,0.0,0,0.0,39,15,4,4,0.0,12,8.0,8.0,5.538461538,57.0,1,0,0,1,0,0
219,MLB_acrema01_NPB_104597_KBO_,,104597.0,,1998,1,CL,YAKULT,2,12,0,2,0.0,0,0.0,208,47,6,34,3.0,58,20.0,18.0,2.336538462,288.0,0,0,0,1,0,0
338,MLB_adkinjo01_NPB__KBO_79596,,,79596.0,2009,1,KBO,Lotte,3,50,3,5,0.0,0,26.0,150,49,4,22,3.0,29,21.0,21.0,3.83,214.0,0.375,0,0,0,0,1
342,MLB_adlemti01_NPB__KBO_68435,,,68435.0,2018,1,KBO,Samsung,2,31,8,12,0.0,0,0.0,513,202,20,54,11.0,137,101.0,96.0,5.05,758.0,0.4,0,0,0,0,1
461,MLB_albaljo01_NPB_105865_KBO_,,105865.0,,2011,1,CL,YOMIURI,3,46,2,2,0.0,0,2.0,154,43,2,19,5.0,44,17.0,14.0,2.454545455,219.0,0.5,0,0,1,0,0
465,MLB_alberan01_NPB_106640_KBO_64737,,,64737.0,2014,1,KBO,Hanwha,2,28,6,13,1.0,1,0.0,456,200,18,40,4.0,107,108.0,99.0,5.89,673.0,0.316,0,0,0,0,1
469,MLB_alberan01_NPB_106640_KBO_64737,,106640.0,,2018,1,PL,ORIX,4,19,9,2,0.0,0,0.0,342,105,10,21,2.0,83,40.0,39.0,3.078947368,455.0,0.818,0,0,0,1,0
470,MLB_alberan01_NPB_106640_KBO_64737,,106640.0,,2019,1,PL,ORIX,4,13,2,6,0.0,0,0.0,190,84,12,10,2.0,45,44.0,41.0,5.826315789,278.0,0.25,0,0,0,1,0
471,MLB_alberan01_NPB_106640_KBO_64737,,106640.0,,2020,1,PL,ORIX,4,16,4,8,0.0,0,0.0,267,93,12,22,3.0,66,42.0,39.0,3.943820225,376.0,0.333,0,0,0,1,0
523,MLB_alcanra01_NPB_107013_KBO_69045,,,69045.0,2019,1,KBO,KT,2,27,11,11,1.0,0,0.0,523,189,15,27,8.0,100,80.0,77.0,4.01,724.0,0.5,0,0,0,0,1
524,MLB_alcanra01_NPB_107013_KBO_69045,,,69045.0,2020,1,KBO,Doosan,2,31,20,2,1.0,0,0.0,601,174,12,30,9.0,182,58.0,56.0,2.54,795.0,0.909,0,0,0,0,1
525,MLB_alcanra01_NPB_107013_KBO_69045,,107013.0,,2021,1,CL,HANSHIN,3,24,3,3,0.0,0,0.0,178,55,6,14,0.0,48,25.0,23.0,3.488764045,243.0,0.5,0,0,1,0,0
526,MLB_alcanra01_NPB_107013_KBO_69045,,107013.0,,2022,1,CL,HANSHIN,3,39,1,3,0.0,0,1.0,115,38,5,8,1.0,29,21.0,20.0,4.695652174,156.0,0.25,0,0,1,0,0
527,MLB_alcanra01_NPB_107013_KBO_69045,,,69045.0,2023,1,KBO,Doosan,4,31,13,9,0.0,0,0.0,576,171,16,35,5.0,162,67.0,57.0,2.67,777.0,0.591,0,0,0,0,1
528,MLB_alcanra01_NPB_107013_KBO_69045,,,69045.0,2024,1,KBO,Doosan,4,12,2,2,0.0,0,0.0,195,58,10,22,2.0,34,35.0,34.0,4.76,270.0,0.5,0,0,0,0,1
571,MLB_alexabo01_NPB_101685_KBO_,,101685.0,,1959,1,PL,TOEI,2,13,2,5,1.0,1,,157,57,2,14,1.0,34,29.0,27.0,4.643312102,227.0,0.286,0,0,0,1,0
661,MLB_alldrca01_NPB__KBO_54664,,,54664.0,2024,1,KBO,KIA,2,9,3,2,1.0,1,0.0,136,38,4,17,2.0,52,24.0,22.0,4.53,184.0,0.6,0,0,0,0,1
715,MLB_allenlo01_NPB__KBO_55912,,,55912.0,2025,1,KBO,NC,4,9,2,5,0.0,0,0.0,148,43,2,24,5.0,33,25.0,20.0,3.78,215.0,0.286,0,0,0,0,1
758,MLB_almonhe01_NPB_104918_KBO_,,104918.0,,2001,1,CL,YOMIURI,2,4,0,1,0.0,0,0.0,11,5,0,3,0.0,5,4.0,3.0,7.363636364,19.0,0,0,0,1,0,0
759,MLB_almonhe01_NPB_104918_KBO_,,104918.0,,2002,1,CL,YOMIURI,2,27,0,0,0.0,0,1.0,72,18,2,7,2.0,18,4.0,4.0,1.5,96.0,,0,0,1,0,0
983,MLB_anderdr02_NPB_107126_KBO_54833,,107126.0,,2022,1,CL,HIROSHIMA,3,13,3,4,0.0,0,0.0,210,61,9,23,3.0,59,32.0,28.0,3.6,293.0,0.429,0,0,1,0,0
